Serial No,Stock Symbol,Metric1,Metric2,Metric3,...
35,ACAD,July-30,Q2-2025,0.14-USD,263.28-M-USD,3.68-B-USD,,15.69,1.38-USD,226.45-M-USD,957.80-M-USD,166.06-M,1.18
36,ACCO,July-30,Q2-2025,0.29-USD,394.13-M-USD,311.74-M-USD,8.29%,,1.12-USD,101.60-M-USD,1.67-B-USD,86.31-M,1.07
37,ACCS,August-12,Q2-2025,0.09-USD,5.83-M-USD,40.40-M-USD,,,1.37-USD,10.79-M-USD,23.06-M-USD,2.86-M,0.31
38,ACDC,August-7,Q2-2025,0.19-USD,541.55-M-USD,1.04-B-USD,,,1.49-USD,215.10-M-USD,2.19-B-USD,11.14-M,2.16
39,ACEL,July-30,Q2-2025,0.22-USD,328.47-M-USD,949.68-M-USD,,22.61,0.50-USD,35.25-M-USD,1.23-B-USD,50.57-M,0.95
40,ACET,August-6,Q2-2025,0.31-USD,0.00-USD,57.37-M-USD,,,1.2914-USD,117.12-M-USD,0.00-USD,65.38-M,1.83
41,ACGL,July-23,Q2-2025,2.28-USD,4.36-B-USD,34.50-B-USD,,9.43,9.99-USD,4.31-B-USD,16.86-B-USD,361.88-M,0.51
42,ACHC,August-5,Q2-2025,0.70-USD,838.93-M-USD,2.08-B-USD,,11.27,2.05-USD,255.61-M-USD,3.15-B-USD,89.46-M,0.71
43,ACHR,August-7,Q2-2025,0.25-USD,2.67-M-USD,5.81-B-USD,,,1.24-USD,536.80-M-USD,0.00-USD,412.00-M,3.48
44,ACHV,August-7,Q2-2025,0.34-USD,0.00-USD,105.44-M-USD,,,1.34-USD,39.83-M-USD,0.00-USD,29.37-M,2.01
45,ACI,July-29,Q1-2025,0.55-USD,24.68-B-USD,12.72-B-USD,2.72%,13.28,1.65-USD,958.60-M-USD,80.39-B-USD,413.69-M,0.06
46,ACIC,August-6,Q2-2025,0.38-USD,243.22-M-USD,524.63-M-USD,,7.24,1.55-USD,75.72-M-USD,296.66-M-USD,24.11-M,0.52
47,ACIU,August-6,Q2-2025,0.21-USD,2.38-M-USD,167.21-M-USD,,,0.58-USD,57.82-M-USD,31.01-M-USD,61.45-M,1.08
